ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
3877,0,0,28,0,-28
3878,1,1,628,1332,704
3879,1,0,52,0,-52
3880,1,0,89,0,-89
3881,1,0,44,0,-44
3882,1,1,1512,1263,-249
3883,1,1,31,1308,1277
3884,1,1,609,1616,1007
3885,1,0,35,0,-35
3886,1,0,26,0,-26
3887,1,0,73,0,-73
3888,1,0,61,0,-61
3889,1,1,205,1316,1111
3890,1,0,40,0,-40
3891,1,0,12,0,-12
3892,1,1,67,1324,1257
3893,1,1,122,1328,1206
3894,0,0,23,0,-23
3895,1,1,171,4429,4258
3896,1,1,807,2329,1522
3897,1,1,512,1314,802
3898,0,0,5,0,-5
3899,1,0,94,0,-94
3900,0,0,107,0,-107
3901,1,0,18,0,-18
3902,1,1,265,2545,2280
3903,1,0,42,0,-42
3904,1,1,177,1472,1295
3905,0,0,136,0,-136
3906,1,1,153,1277,1124
3907,0,0,22,0,-22
3908,1,0,175,0,-175
3909,1,0,252,0,-252
3910,0,0,15,0,-15
3911,1,1,58,1402,1344
3912,1,0,0,0,0
3913,0,0,111,0,-111
3914,1,1,889,1235,346
3915,0,0,47,0,-47
3916,1,0,24,0,-24
3917,1,0,12,0,-12
3918,1,1,653,2221,1568
3919,0,0,10,0,-10
3920,1,0,10,0,-10
3921,0,0,76,0,-76
3922,1,0,126,0,-126
3923,1,0,65,0,-65
3924,1,0,14,0,-14
3925,1,1,96,1612,1516
3926,1,0,15,0,-15
3927,0,0,45,0,-45
3928,1,1,132,1289,1157
3929,1,1,2308,1529,-779
3930,1,0,22,0,-22
3931,1,1,104,3135,3031
3932,1,1,1151,1347,196
3933,1,0,220,0,-220
3934,1,1,245,1558,1313
3935,0,0,28,0,-28
3936,1,1,345,1691,1346
3937,1,0,111,0,-111
3938,1,0,82,0,-82
3939,1,1,389,1353,964
3940,0,0,11,0,-11
3941,0,0,43,0,-43
3942,0,0,47,0,-47
3943,0,0,11,0,-11
3944,1,0,85,0,-85
3945,0,0,97,0,-97
3946,0,0,41,0,-41
3947,1,1,33,1213,1180
3948,1,1,764,1946,1182
3949,0,0,36,0,-36
3950,1,1,600,1201,601
3951,1,0,123,0,-123
3952,1,1,375,1259,884
3953,0,0,29,0,-29
3954,1,0,20,0,-20
3955,0,0,22,0,-22
3956,1,1,87,1366,1279
3957,0,0,24,0,-24
3958,1,1,564,1551,987
3959,1,1,198,1551,1353
3960,1,0,55,0,-55
3961,1,0,18,0,-18
3962,1,0,66,0,-66
3963,0,0,14,0,-14
3964,0,0,249,0,-249
3965,1,0,13,0,-13
3966,1,0,14,0,-14
3967,1,0,15,0,-15
3968,1,1,459,1642,1183
3969,0,0,1,0,-1
3970,0,0,47,0,-47
3971,0,0,141,0,-141
3972,1,1,185,3783,3598
3973,1,1,1239,1201,-38
3974,1,1,19,1205,1186
3975,1,0,51,0,-51
3976,0,0,123,0,-123
3977,1,0,1,0,-1
3978,1,1,323,1521,1198
3979,0,0,53,0,-53
3980,1,0,0,0,0
3981,0,0,16,0,-16
3982,0,0,9,0,-9
3983,1,1,183,1361,1178
3984,1,0,0,0,0
3985,0,0,5,0,-5
3986,1,1,502,1270,768
3987,1,0,6,0,-6
3988,1,1,334,1346,1012
3989,0,0,216,0,-216
3990,1,1,57,1408,1351
3991,1,0,144,0,-144
3992,0,0,68,0,-68
3993,1,0,272,0,-272
3994,1,0,30,0,-30
3995,0,0,41,0,-41
3996,1,1,121,1455,1334
3997,0,0,157,0,-157
3998,1,1,389,1538,1149
3999,0,0,69,0,-69
4000,1,0,8,0,-8
4001,1,1,227,1859,1632
4002,1,0,54,0,-54
4003,0,0,76,0,-76
4004,1,0,67,0,-67
4005,1,0,64,0,-64
4006,1,0,53,0,-53
4007,1,1,1728,1390,-338
4008,1,1,268,1576,1308
4009,1,0,54,0,-54
4010,1,1,2063,2022,-41
4011,0,0,46,0,-46
4012,1,0,23,0,-23
4013,1,0,9,0,-9
4014,0,0,8,0,-8
4015,1,1,763,1446,683
4016,1,0,138,0,-138
4017,1,0,112,0,-112
4018,0,0,11,0,-11
4019,1,0,37,0,-37
4020,1,1,38,1369,1331
4021,1,0,36,0,-36
4022,0,0,8,0,-8
4023,1,1,159,1746,1587
4024,1,1,263,1289,1026
4025,0,0,11,0,-11
4026,1,1,489,1701,1212
4027,1,1,123,1308,1185
4028,1,0,152,0,-152
4029,1,0,25,0,-25
4030,0,0,42,0,-42
4031,1,1,548,1533,985
4032,0,0,43,0,-43
4033,0,0,124,0,-124
4034,0,0,25,0,-25
4035,0,0,19,0,-19
4036,1,0,27,0,-27
4037,0,0,6,0,-6
4038,1,1,999,1500,501
4039,0,0,3,0,-3
4040,0,0,27,0,-27
4041,1,1,1442,1672,230
4042,0,0,161,0,-161
4043,0,0,9,0,-9
4044,1,0,27,0,-27
4045,1,1,2683,1335,-1348
4046,0,0,85,0,-85
4047,0,0,28,0,-28
4048,1,0,72,0,-72
4049,1,0,45,0,-45
4050,0,0,36,0,-36
4051,0,0,58,0,-58
4052,1,1,534,1204,670
4053,1,1,245,1449,1204
4054,1,0,41,0,-41
4055,1,1,147,1255,1108
4056,0,0,10,0,-10
4057,1,0,58,0,-58
4058,0,0,8,0,-8
4059,1,0,71,0,-71
4060,1,1,313,1200,887
4061,1,1,42,1423,1381
4062,0,0,30,0,-30
4063,0,0,2,0,-2
4064,0,0,114,0,-114
4065,1,0,58,0,-58
4066,0,0,48,0,-48
4067,1,1,346,1216,870
4068,1,0,63,0,-63
4069,1,0,67,0,-67
4070,0,0,117,0,-117
4071,0,0,5,0,-5
4072,0,0,49,0,-49
4073,0,0,73,0,-73
4074,1,1,305,1260,955
4075,1,1,164,1316,1152
4076,1,1,186,1610,1424
4077,0,0,143,0,-143
4078,1,0,6,0,-6
4079,0,0,37,0,-37
4080,0,0,29,0,-29
4081,0,0,25,0,-25
4082,0,0,49,0,-49
4083,1,1,68,1848,1780
4084,1,1,379,1929,1550
4085,0,0,63,0,-63
4086,1,1,948,1204,256
4087,0,0,124,0,-124
4088,0,0,22,0,-22
4089,1,1,402,1201,799
4090,1,1,1089,3619,2530
4091,1,1,64,1718,1654
4092,1,1,658,2003,1345
4093,1,0,90,0,-90
4094,1,0,5,0,-5
4095,0,0,30,0,-30
4096,0,0,47,0,-47
4097,1,1,2998,1725,-1273
4098,1,1,480,1368,888
4099,1,1,346,2135,1789
4100,0,0,6,0,-6
4101,1,1,1369,1844,475
4102,0,0,101,0,-101
4103,1,0,104,0,-104
4104,1,0,59,0,-59
4105,0,0,33,0,-33
4106,1,0,27,0,-27
4107,1,1,391,1258,867
4108,1,1,13,1219,1206
4109,1,1,781,1267,486
4110,1,0,0,0,0
4111,1,1,505,1395,890
4112,0,0,5,0,-5
4113,0,0,21,0,-21
4114,1,0,16,0,-16
4115,0,0,3,0,-3
4116,0,0,23,0,-23
4117,0,0,25,0,-25
4118,1,1,262,1349,1087
4119,1,1,358,1439,1081
4120,0,0,13,0,-13
4121,1,1,832,1554,722
4122,1,0,28,0,-28
4123,0,0,216,0,-216
4124,0,0,10,0,-10
4125,0,0,12,0,-12
4126,0,0,69,0,-69
4127,1,1,304,1317,1013
4128,1,0,1,0,-1
4129,0,0,10,0,-10
4130,1,0,105,0,-105
4131,0,0,10,0,-10
4132,1,0,38,0,-38
4133,0,0,84,0,-84
4134,1,0,4,0,-4
4135,0,0,5,0,-5
4136,0,0,41,0,-41
4137,0,0,114,0,-114
4138,1,1,1556,1236,-320
4139,0,0,31,0,-31
4140,0,0,13,0,-13
4141,1,0,88,0,-88
4142,0,0,83,0,-83
4143,1,1,463,1330,867
4144,1,1,480,1398,918
4145,0,0,199,0,-199
4146,1,0,20,0,-20
4147,0,0,16,0,-16
4148,1,0,9,0,-9
4149,1,1,1885,1249,-636
4150,0,0,123,0,-123
4151,0,0,5,0,-5
4152,0,0,31,0,-31
4153,1,1,552,1713,1161
4154,1,1,377,1296,919
4155,1,0,47,0,-47
4156,1,1,108,1208,1100
4157,0,0,27,0,-27
4158,0,0,83,0,-83
4159,1,1,1321,1233,-88
4160,1,0,236,0,-236
4161,0,0,68,0,-68
4162,0,0,54,0,-54
4163,1,1,236,1484,1248
4164,0,0,4,0,-4
4165,0,0,14,0,-14
4166,1,0,118,0,-118
4167,0,0,238,0,-238
4168,1,1,690,1450,760
4169,1,1,788,1576,788
4170,1,1,934,1204,270
4171,1,0,42,0,-42
4172,1,0,5,0,-5
4173,0,0,115,0,-115
4174,1,1,1106,1448,342
4175,1,0,40,0,-40
4176,1,1,775,1263,488
4177,1,1,660,1210,550
4178,1,0,6,0,-6
4179,1,0,87,0,-87
4180,0,0,39,0,-39
4181,1,0,64,0,-64
4182,1,1,105,1957,1852
4183,0,0,46,0,-46
4184,1,0,0,0,0
4185,1,0,120,0,-120
4186,0,0,63,0,-63
4187,0,0,2,0,-2
4188,1,0,17,0,-17
4189,1,1,151,1851,1700
4190,0,0,212,0,-212
4191,1,1,372,1227,855
4192,1,0,38,0,-38
4193,1,0,65,0,-65
4194,1,0,17,0,-17
4195,0,0,1,0,-1
4196,0,0,25,0,-25
4197,1,0,90,0,-90
4198,1,0,12,0,-12
4199,0,0,20,0,-20
4200,0,0,40,0,-40
4201,1,1,253,1250,997
4202,1,1,398,1248,850
4203,1,0,148,0,-148
4204,1,0,17,0,-17
4205,1,0,57,0,-57
4206,1,0,55,0,-55
4207,1,1,79,2354,2275
4208,0,0,5,0,-5
4209,1,0,17,0,-17
4210,1,1,2220,2366,146
4211,1,1,289,1451,1162
4212,0,0,15,0,-15
4213,1,1,180,2100,1920
4214,1,0,99,0,-99
4215,1,1,564,1550,986
4216,0,0,180,0,-180
4217,0,0,6,0,-6
4218,1,1,481,1791,1310
4219,0,0,67,0,-67
4220,1,0,146,0,-146
4221,1,0,1,0,-1
4222,1,0,23,0,-23
4223,0,0,23,0,-23
4224,1,1,547,1558,1011
4225,1,0,45,0,-45
4226,1,0,27,0,-27
4227,1,0,59,0,-59
4228,1,0,10,0,-10
4229,1,1,109,1682,1573
4230,1,0,43,0,-43
4231,1,1,255,1998,1743
4232,1,1,292,1860,1568
4233,1,1,271,1908,1637
4234,1,0,84,0,-84
4235,0,0,1,0,-1
4236,1,0,0,0,0
4237,0,0,96,0,-96
4238,1,0,64,0,-64
4239,1,0,69,0,-69
4240,1,1,354,1483,1129
4241,0,0,31,0,-31
4242,1,1,58,1288,1230
4243,0,0,39,0,-39
4244,0,0,53,0,-53
4245,0,0,4,0,-4
4246,1,1,75,1295,1220
4247,1,1,637,1571,934
4248,1,1,302,1252,950
4249,0,0,13,0,-13
4250,1,0,0,0,0
4251,1,1,1266,1366,100
4252,0,0,47,0,-47
4253,1,0,46,0,-46
4254,1,0,1,0,-1
4255,1,1,53,1511,1458
4256,1,0,47,0,-47
4257,1,0,8,0,-8
4258,0,0,6,0,-6
4259,1,1,213,1336,1123
4260,1,1,244,1479,1235
4261,1,1,409,1217,808
4262,1,0,25,0,-25
4263,1,0,17,0,-17
4264,0,0,142,0,-142
4265,1,1,2469,1520,-949
4266,1,1,993,1625,632
4267,1,1,469,2304,1835
4268,0,0,102,0,-102
4269,1,0,10,0,-10
4270,1,0,7,0,-7
4271,0,0,56,0,-56
4272,1,1,763,1314,551
4273,1,0,65,0,-65
4274,1,1,135,1344,1209
4275,0,0,7,0,-7
4276,1,0,18,0,-18
4277,1,1,701,1461,760
4278,1,1,169,1351,1182
4279,0,0,13,0,-13
4280,1,0,59,0,-59
4281,0,0,21,0,-21
4282,1,0,0,0,0
4283,0,0,14,0,-14
4284,0,0,40,0,-40
4285,0,0,16,0,-16
4286,0,0,20,0,-20
4287,1,0,113,0,-113
4288,1,1,266,1283,1017
4289,0,0,31,0,-31
4290,0,0,62,0,-62
4291,0,0,3,0,-3
4292,1,0,32,0,-32
4293,1,0,51,0,-51
4294,0,0,10,0,-10
4295,0,0,117,0,-117
4296,0,0,51,0,-51
4297,0,0,84,0,-84
4298,1,1,239,1335,1096
4299,1,1,316,2048,1732
4300,1,0,13,0,-13
4301,1,1,1879,1538,-341
4302,0,0,22,0,-22
4303,1,1,991,1615,624
4304,0,0,23,0,-23
4305,0,0,34,0,-34
4306,1,1,1767,1870,103
4307,1,1,117,1289,1172
4308,1,0,59,0,-59
4309,1,1,1313,1214,-99
4310,1,1,586,1492,906
4311,0,0,23,0,-23
4312,1,0,52,0,-52
4313,1,0,5,0,-5
4314,1,0,2,0,-2
4315,1,1,983,1438,455
4316,1,0,17,0,-17
4317,0,0,42,0,-42
4318,0,0,90,0,-90
4319,0,0,24,0,-24
4320,1,1,1026,2026,1000
4321,1,0,63,0,-63
4322,1,0,74,0,-74
4323,1,1,241,1841,1600
4324,1,0,0,0,0
4325,1,0,30,0,-30
4326,0,0,87,0,-87
4327,0,0,104,0,-104
4328,0,0,16,0,-16
4329,1,0,42,0,-42
4330,1,1,791,1609,818
4331,1,0,7,0,-7
4332,0,0,4,0,-4
4333,0,0,18,0,-18
4334,1,0,57,0,-57
4335,0,0,17,0,-17
4336,1,0,63,0,-63
4337,1,1,283,1565,1282
4338,0,0,13,0,-13
4339,1,1,12,1228,1216
4340,1,1,654,1225,571
4341,0,0,2,0,-2
4342,1,1,716,1445,729
4343,0,0,7,0,-7
4344,1,1,205,1514,1309
4345,0,0,18,0,-18
4346,0,0,17,0,-17
4347,1,0,153,0,-153
4348,0,0,29,0,-29
4349,1,0,84,0,-84
4350,0,0,40,0,-40
4351,1,0,66,0,-66
4352,1,0,45,0,-45
4353,1,0,17,0,-17
4354,1,1,62,1594,1532
4355,1,1,373,1260,887
4356,0,0,30,0,-30
4357,0,0,24,0,-24
4358,1,1,436,2153,1717
4359,1,1,491,1412,921
4360,1,0,5,0,-5
4361,0,0,44,0,-44
4362,0,0,9,0,-9
4363,0,0,37,0,-37
4364,1,1,849,1444,595
4365,0,0,24,0,-24
4366,0,0,50,0,-50
4367,1,1,94,1207,1113
4368,1,1,155,1231,1076
4369,1,1,249,1431,1182
4370,1,0,31,0,-31
4371,0,0,37,0,-37
4372,0,0,49,0,-49
4373,1,0,120,0,-120
4374,1,1,248,1531,1283
4375,1,1,626,1211,585
4376,0,0,53,0,-53
4377,1,1,330,1748,1418
4378,0,0,51,0,-51
4379,0,0,36,0,-36
4380,1,1,2027,1417,-610
4381,0,0,52,0,-52
4382,1,0,14,0,-14
4383,0,0,7,0,-7
4384,1,0,25,0,-25
4385,1,1,273,1444,1171
4386,1,1,728,2137,1409
4387,0,0,134,0,-134
4388,1,1,16,2007,1991
4389,1,1,67,1353,1286
4390,0,0,22,0,-22
4391,1,1,1437,1368,-69
4392,0,0,12,0,-12
4393,0,0,12,0,-12
4394,1,1,522,1344,822
4395,1,1,332,1858,1526
4396,0,0,13,0,-13
4397,0,0,10,0,-10
4398,0,0,31,0,-31
4399,1,0,89,0,-89
4400,1,1,131,1489,1358
4401,0,0,9,0,-9
4402,1,1,120,1760,1640
4403,1,0,80,0,-80
4404,1,1,830,1550,720
4405,1,0,80,0,-80
4406,0,0,48,0,-48
4407,0,0,36,0,-36
4408,1,1,497,1216,719
4409,1,1,263,1425,1162
4410,0,0,117,0,-117
4411,0,0,73,0,-73
4412,0,0,57,0,-57
4413,1,0,85,0,-85
4414,1,0,45,0,-45
4415,1,0,69,0,-69
4416,1,0,65,0,-65
4417,0,0,87,0,-87
4418,1,1,277,1323,1046
4419,0,0,41,0,-41
4420,0,0,29,0,-29
4421,1,0,7,0,-7
4422,1,0,166,0,-166
4423,0,0,89,0,-89
4424,1,1,65,1217,1152
4425,0,0,12,0,-12
4426,0,0,12,0,-12
4427,0,0,67,0,-67
4428,0,0,56,0,-56
4429,0,0,13,0,-13
4430,1,0,37,0,-37
4431,0,0,55,0,-55
4432,0,0,74,0,-74
4433,0,0,112,0,-112
4434,0,0,77,0,-77
4435,1,0,65,0,-65
4436,1,1,279,1623,1344
4437,0,0,23,0,-23
4438,1,1,164,1735,1571
4439,1,1,375,1252,877
4440,1,1,362,1307,945
4441,0,0,25,0,-25
4442,0,0,15,0,-15
4443,1,0,12,0,-12
4444,1,0,12,0,-12
4445,1,0,41,0,-41
4446,0,0,53,0,-53
4447,1,1,965,1327,362
4448,0,0,32,0,-32
4449,0,0,14,0,-14
4450,1,0,3,0,-3
4451,0,0,55,0,-55
4452,0,0,28,0,-28
4453,1,1,389,1848,1459
4454,1,0,248,0,-248
4455,0,0,5,0,-5
4456,1,0,31,0,-31
4457,0,0,91,0,-91
4458,0,0,21,0,-21
4459,0,0,107,0,-107
4460,0,0,5,0,-5
4461,1,0,62,0,-62
4462,1,0,17,0,-17
4463,0,0,7,0,-7
4464,0,0,2,0,-2
4465,0,0,26,0,-26
4466,0,0,34,0,-34
4467,0,0,47,0,-47
4468,0,0,3,0,-3
4469,1,0,1,0,-1
4470,0,0,55,0,-55
4471,1,0,43,0,-43
4472,1,0,24,0,-24
4473,1,1,364,3337,2973
4474,0,0,4,0,-4
4475,0,0,14,0,-14
4476,1,0,12,0,-12
4477,1,1,127,1311,1184
4478,1,0,149,0,-149
4479,0,0,21,0,-21
4480,1,0,191,0,-191
4481,1,0,10,0,-10
4482,1,0,44,0,-44
4483,0,0,11,0,-11
4484,1,0,187,0,-187
4485,1,0,20,0,-20
4486,0,0,44,0,-44
4487,1,1,178,1423,1245
4488,1,1,257,1344,1087
4489,1,1,324,1238,914
4490,1,1,168,1808,1640
4491,1,0,49,0,-49
4492,1,1,211,1328,1117
4493,0,0,65,0,-65
4494,0,0,19,0,-19
4495,0,0,99,0,-99
4496,0,0,0,0,0
4497,0,0,90,0,-90
4498,1,0,157,0,-157
4499,1,0,40,0,-40
4500,1,0,35,0,-35
4501,1,1,1310,1724,414
4502,1,0,41,0,-41
4503,1,1,198,1203,1005
4504,1,1,1124,1879,755
4505,0,0,2,0,-2
4506,0,0,13,0,-13
4507,0,0,37,0,-37
4508,0,0,109,0,-109
4509,1,0,17,0,-17
4510,1,0,4,0,-4
4511,0,0,58,0,-58
4512,0,0,36,0,-36
4513,1,0,20,0,-20
4514,1,0,61,0,-61
4515,1,0,57,0,-57
4516,0,0,4,0,-4
4517,1,1,178,2409,2231
4518,0,0,66,0,-66
4519,1,1,1281,2188,907
4520,1,1,217,1704,1487
4521,1,1,1513,1818,305
4522,1,1,461,1241,780
4523,1,1,208,1461,1253
4524,0,0,48,0,-48
4525,1,0,36,0,-36
4526,0,0,64,0,-64
4527,0,0,24,0,-24
4528,1,0,25,0,-25
4529,0,0,28,0,-28
4530,1,1,545,1215,670
4531,0,0,59,0,-59
4532,1,0,99,0,-99
4533,1,0,98,0,-98
4534,1,0,8,0,-8
4535,0,0,10,0,-10
4536,1,1,674,1268,594
4537,1,0,58,0,-58
4538,1,0,14,0,-14
4539,0,0,121,0,-121
4540,1,0,28,0,-28
4541,1,1,202,1279,1077
4542,0,0,19,0,-19
4543,1,1,231,1314,1083
4544,1,1,211,3187,2976
4545,1,1,486,1529,1043
4546,0,0,4,0,-4
4547,1,0,8,0,-8
4548,1,1,152,1979,1827
4549,0,0,12,0,-12
4550,1,0,70,0,-70
4551,0,0,141,0,-141
4552,1,1,329,1246,917
4553,1,0,145,0,-145
4554,0,0,44,0,-44
4555,1,0,22,0,-22
4556,1,1,176,1271,1095
4557,1,1,218,2129,1911
4558,0,0,27,0,-27
4559,1,0,49,0,-49
4560,0,0,8,0,-8
4561,1,1,84,1427,1343
4562,1,1,150,1372,1222
4563,0,0,11,0,-11
4564,1,0,21,0,-21
4565,1,1,493,1200,707
4566,1,0,40,0,-40
4567,1,1,396,1708,1312
4568,1,0,50,0,-50
4569,1,0,45,0,-45
4570,0,0,45,0,-45
4571,1,0,5,0,-5
4572,0,0,61,0,-61
4573,1,1,126,3156,3030
4574,0,0,162,0,-162
4575,1,0,56,0,-56
4576,1,0,42,0,-42
4577,1,0,90,0,-90
4578,0,0,13,0,-13
4579,1,0,66,0,-66
4580,1,0,121,0,-121
4581,1,1,320,1483,1163
4582,1,1,31,1508,1477
4583,0,0,13,0,-13
4584,0,0,10,0,-10
4585,1,0,6,0,-6
4586,0,0,0,0,0
4587,1,0,71,0,-71
4588,0,0,135,0,-135
4589,1,1,433,1519,1086
4590,0,0,31,0,-31
4591,1,1,779,1353,574
4592,0,0,6,0,-6
4593,1,1,89,1647,1558
4594,0,0,31,0,-31
4595,0,0,51,0,-51
4596,1,1,311,1412,1101
4597,1,0,4,0,-4
4598,1,0,18,0,-18
4599,1,0,39,0,-39
4600,1,1,533,1201,668
4601,1,0,149,0,-149
4602,0,0,19,0,-19
4603,1,0,28,0,-28
4604,1,0,12,0,-12
4605,0,0,21,0,-21
4606,0,0,26,0,-26
4607,1,1,982,1314,332
4608,1,1,998,2025,1027
4609,1,1,1373,1340,-33
4610,1,0,9,0,-9
4611,0,0,6,0,-6
4612,1,1,225,1280,1055
4613,1,0,9,0,-9
4614,1,0,27,0,-27
4615,0,0,32,0,-32
4616,1,0,43,0,-43
4617,1,1,683,1765,1082
4618,1,0,14,0,-14
4619,1,1,520,1497,977
4620,1,0,0,0,0
4621,1,1,346,1381,1035
4622,1,1,513,1246,733
4623,0,0,20,0,-20
4624,1,0,35,0,-35
4625,1,0,3,0,-3
4626,0,0,33,0,-33
4627,0,0,10,0,-10
4628,0,0,61,0,-61
4629,1,0,0,0,0
4630,1,0,60,0,-60
4631,1,1,809,1837,1028
4632,1,1,442,1211,769
4633,0,0,21,0,-21
4634,1,0,22,0,-22
4635,0,0,13,0,-13
4636,1,1,82,1571,1489
4637,1,1,97,1315,1218
4638,1,1,160,1200,1040
4639,0,0,103,0,-103
4640,0,0,25,0,-25
4641,1,1,235,1301,1066
4642,1,1,271,1341,1070
4643,0,0,34,0,-34
4644,0,0,96,0,-96
4645,0,0,35,0,-35
4646,1,1,158,1205,1047
4647,0,0,92,0,-92
4648,1,1,116,1314,1198
4649,1,0,13,0,-13
4650,1,0,64,0,-64
4651,0,0,29,0,-29
4652,1,0,187,0,-187
4653,0,0,103,0,-103
4654,1,0,128,0,-128
4655,0,0,5,0,-5
4656,0,0,5,0,-5
4657,1,0,111,0,-111
4658,1,0,22,0,-22
4659,1,0,1,0,-1
4660,1,0,96,0,-96
4661,0,0,188,0,-188
4662,1,1,273,1416,1143
4663,1,0,19,0,-19
4664,1,1,141,1695,1554
4665,1,0,12,0,-12
4666,1,0,63,0,-63
4667,1,1,51,1405,1354
4668,1,1,612,2011,1399
4669,1,0,69,0,-69
4670,0,0,50,0,-50
4671,0,0,108,0,-108
4672,1,0,15,0,-15
4673,0,0,106,0,-106
4674,0,0,0,0,0
4675,1,0,33,0,-33
4676,0,0,32,0,-32
4677,0,0,67,0,-67
4678,1,1,309,1780,1471
4679,1,1,1519,1219,-300
4680,0,0,19,0,-19
4681,1,0,6,0,-6
4682,1,1,224,1288,1064
4683,0,0,44,0,-44
4684,0,0,77,0,-77
4685,1,0,142,0,-142
4686,1,1,91,1232,1141
4687,1,1,1011,1307,296
4688,1,1,90,1452,1362
4689,1,0,15,0,-15
4690,1,0,2,0,-2
4691,0,0,45,0,-45
4692,0,0,16,0,-16
4693,1,0,27,0,-27
4694,1,1,573,1570,997
4695,1,1,767,1359,592
4696,0,0,28,0,-28
4697,1,0,16,0,-16
4698,0,0,40,0,-40
4699,0,0,59,0,-59
4700,1,1,191,1283,1092
4701,1,0,98,0,-98
4702,1,1,69,1357,1288
4703,1,1,426,1227,801
4704,1,0,8,0,-8
4705,0,0,46,0,-46
4706,0,0,3,0,-3
4707,1,1,313,1449,1136
4708,0,0,4,0,-4
4709,0,0,12,0,-12
4710,0,0,12,0,-12
4711,1,1,336,1253,917
4712,0,0,20,0,-20
4713,0,0,6,0,-6
4714,0,0,3,0,-3
4715,0,0,44,0,-44
4716,1,0,13,0,-13
4717,1,1,756,2342,1586
4718,1,0,17,0,-17
4719,1,0,41,0,-41
4720,1,1,1720,1288,-432
4721,1,1,38,1251,1213
4722,0,0,24,0,-24
4723,1,1,697,1290,593
4724,0,0,27,0,-27
4725,1,1,362,1640,1278
4726,0,0,37,0,-37
4727,1,1,303,1521,1218
4728,1,0,33,0,-33
4729,1,1,40,1327,1287
4730,1,1,103,1682,1579
4731,0,0,37,0,-37
4732,1,1,898,1662,764
4733,1,1,665,1578,913
4734,1,0,46,0,-46
4735,0,0,115,0,-115
4736,0,0,74,0,-74
4737,1,0,151,0,-151
4738,1,1,1117,1391,274
4739,1,0,32,0,-32
4740,1,1,274,1563,1289
4741,0,0,35,0,-35
4742,0,0,127,0,-127
4743,0,0,31,0,-31
4744,0,0,18,0,-18
4745,0,0,5,0,-5
4746,0,0,63,0,-63
4747,1,1,112,1221,1109
4748,1,0,38,0,-38
4749,1,0,20,0,-20
4750,0,0,2,0,-2
4751,1,1,166,2508,2342
4752,0,0,0,0,0
4753,0,0,168,0,-168
4754,1,0,26,0,-26
4755,1,1,671,3772,3101
4756,1,1,1059,1208,149
4757,1,0,47,0,-47
4758,1,0,64,0,-64
4759,1,1,42,1257,1215
4760,0,0,38,0,-38
4761,1,1,1486,1228,-258
4762,1,0,85,0,-85
4763,0,0,70,0,-70
4764,1,1,883,1270,387
4765,1,1,289,1660,1371
4766,1,0,17,0,-17
4767,1,1,31,1929,1898
4768,1,1,811,1349,538
4769,0,0,47,0,-47
4770,1,0,12,0,-12
4771,1,1,34,1271,1237
4772,0,0,78,0,-78
4773,0,0,60,0,-60
4774,1,0,41,0,-41
4775,1,0,54,0,-54
4776,1,1,957,1989,1032
4777,1,0,50,0,-50
4778,1,1,551,1376,825
4779,0,0,97,0,-97
4780,1,1,625,1467,842
4781,1,0,76,0,-76
4782,0,0,160,0,-160
4783,1,0,16,0,-16
4784,0,0,19,0,-19
4785,0,0,11,0,-11
4786,1,0,0,0,0
4787,1,1,400,1425,1025
4788,1,0,18,0,-18
4789,1,0,26,0,-26
4790,0,0,9,0,-9
4791,1,1,2157,1264,-893
4792,1,1,232,1560,1328
4793,1,1,87,1245,1158
4794,1,0,48,0,-48
4795,1,1,650,1807,1157
4796,1,1,42,1206,1164
4797,1,0,16,0,-16
4798,0,0,29,0,-29
4799,1,0,190,0,-190
4800,1,0,82,0,-82
4801,0,0,114,0,-114
4802,1,0,39,0,-39
4803,1,0,8,0,-8
4804,0,0,82,0,-82
4805,1,1,256,1618,1362
4806,1,1,294,1274,980
4807,1,0,4,0,-4
4808,0,0,97,0,-97
4809,0,0,42,0,-42
4810,0,0,1,0,-1
4811,0,0,77,0,-77
4812,1,1,77,2178,2101
4813,1,1,385,1374,989
4814,0,0,58,0,-58
4815,0,0,136,0,-136
4816,0,0,85,0,-85
4817,1,1,303,1202,899
4818,1,0,15,0,-15
4819,1,1,506,1928,1422
4820,1,0,48,0,-48
4821,0,0,115,0,-115
4822,1,1,355,1314,959
4823,1,0,115,0,-115
4824,1,1,450,1494,1044
4825,1,1,306,1688,1382
4826,1,0,15,0,-15
4827,0,0,25,0,-25
4828,1,1,222,1307,1085
4829,0,0,21,0,-21
4830,1,0,3,0,-3
4831,1,0,75,0,-75
4832,0,0,16,0,-16
4833,1,0,56,0,-56
4834,1,1,296,2167,1871
4835,1,1,79,3243,3164
4836,0,0,311,0,-311
4837,1,1,118,1645,1527
4838,1,0,9,0,-9
4839,1,0,7,0,-7
4840,0,0,0,0,0
4841,1,1,20,1359,1339
4842,1,1,911,1200,289
4843,1,1,1363,1399,36
4844,1,1,183,3134,2951
4845,1,1,1161,1371,210
4846,0,0,50,0,-50
4847,1,0,3,0,-3
4848,1,0,74,0,-74
4849,0,0,57,0,-57
4850,0,0,15,0,-15
4851,1,1,1014,1207,193
4852,0,0,85,0,-85
4853,1,0,39,0,-39
4854,1,1,83,1967,1884
4855,1,1,488,1693,1205
4856,0,0,1,0,-1
4857,0,0,11,0,-11
