ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
5238,0,0,44,0,-44
5239,0,0,21,0,-21
5240,1,0,10,0,-10
5241,0,0,13,0,-13
5242,0,0,6,0,-6
5243,1,1,278,1248,970
5244,0,0,77,0,-77
5245,1,0,74,0,-74
5246,0,0,40,0,-40
5247,0,0,72,0,-72
5248,1,0,4,0,-4
5249,1,1,419,1394,975
5250,1,0,31,0,-31
5251,1,0,2,0,-2
5252,0,0,37,0,-37
5253,1,0,12,0,-12
5254,0,0,37,0,-37
5255,1,1,535,1205,670
5256,1,0,2,0,-2
5257,1,0,37,0,-37
5258,0,0,40,0,-40
5259,1,0,58,0,-58
5260,0,0,57,0,-57
5261,0,0,21,0,-21
5262,0,0,9,0,-9
5263,1,1,38,1389,1351
5264,1,1,263,1424,1161
5265,0,0,57,0,-57
5266,1,1,83,1437,1354
5267,0,0,12,0,-12
5268,1,1,299,1380,1081
5269,0,0,15,0,-15
5270,0,0,7,0,-7
5271,1,1,205,1741,1536
5272,1,0,78,0,-78
5273,1,0,49,0,-49
5274,0,0,118,0,-118
5275,0,0,108,0,-108
5276,1,1,406,2662,2256
5277,1,1,1263,1241,-22
5278,0,0,15,0,-15
5279,1,1,474,1585,1111
5280,0,0,14,0,-14
5281,1,0,78,0,-78
5282,0,0,157,0,-157
5283,1,1,51,1277,1226
5284,0,0,11,0,-11
5285,1,1,137,1528,1391
5286,0,0,14,0,-14
5287,0,0,10,0,-10
5288,1,0,25,0,-25
5289,1,0,56,0,-56
5290,1,1,114,1218,1104
5291,0,0,13,0,-13
5292,1,1,276,1770,1494
5293,0,0,106,0,-106
5294,1,1,131,1347,1216
5295,0,0,17,0,-17
5296,1,1,135,1288,1153
5297,1,1,454,1263,809
5298,0,0,162,0,-162
5299,1,0,29,0,-29
5300,1,0,1,0,-1
5301,0,0,63,0,-63
5302,0,0,20,0,-20
5303,1,0,52,0,-52
5304,1,0,66,0,-66
5305,1,0,137,0,-137
5306,0,0,4,0,-4
5307,0,0,107,0,-107
5308,1,0,7,0,-7
5309,0,0,57,0,-57
5310,1,1,590,1565,975
5311,0,0,36,0,-36
5312,1,0,31,0,-31
5313,1,1,426,1945,1519
5314,1,0,79,0,-79
5315,1,0,14,0,-14
5316,1,0,28,0,-28
5317,0,0,25,0,-25
5318,1,0,55,0,-55
5319,1,0,8,0,-8
5320,0,0,83,0,-83
5321,0,0,41,0,-41
5322,1,0,75,0,-75
5323,0,0,33,0,-33
5324,1,1,32,1356,1324
5325,0,0,70,0,-70
5326,1,1,619,1789,1170
5327,1,0,21,0,-21
5328,0,0,49,0,-49
5329,0,0,26,0,-26
5330,0,0,185,0,-185
5331,1,1,25,1491,1466
5332,0,0,72,0,-72
5333,1,0,52,0,-52
5334,0,0,21,0,-21
5335,1,1,1187,2239,1052
5336,0,0,27,0,-27
5337,1,0,28,0,-28
5338,1,1,310,1420,1110
5339,1,0,89,0,-89
5340,1,1,101,1735,1634
5341,1,1,118,1305,1187
5342,1,1,1563,1888,325
5343,0,0,9,0,-9
5344,0,0,117,0,-117
5345,1,0,46,0,-46
5346,1,0,7,0,-7
5347,0,0,30,0,-30
5348,1,0,15,0,-15
5349,1,1,120,1710,1590
5350,0,0,17,0,-17
5351,0,0,108,0,-108
5352,0,0,66,0,-66
5353,1,1,423,6015,5592
5354,1,0,180,0,-180
5355,0,0,41,0,-41
5356,1,0,4,0,-4
5357,0,0,119,0,-119
5358,0,0,41,0,-41
5359,0,0,233,0,-233
5360,1,0,29,0,-29
5361,0,0,57,0,-57
5362,0,0,6,0,-6
5363,1,0,22,0,-22
5364,0,0,15,0,-15
5365,1,1,394,2185,1791
5366,0,0,10,0,-10
5367,1,0,8,0,-8
5368,0,0,99,0,-99
5369,0,0,18,0,-18
5370,0,0,15,0,-15
5371,1,0,7,0,-7
5372,0,0,1,0,-1
5373,1,0,5,0,-5
5374,0,0,19,0,-19
5375,0,0,49,0,-49
5376,0,0,31,0,-31
5377,1,0,35,0,-35
5378,0,0,48,0,-48
5379,1,0,46,0,-46
5380,1,1,1653,1281,-372
5381,1,0,3,0,-3
5382,0,0,4,0,-4
5383,1,0,27,0,-27
5384,0,0,8,0,-8
5385,0,0,65,0,-65
5386,1,0,5,0,-5
5387,0,0,53,0,-53
5388,1,1,207,1260,1053
5389,1,0,21,0,-21
5390,0,0,52,0,-52
5391,1,0,48,0,-48
5392,0,0,98,0,-98
5393,1,1,667,1267,600
5394,0,0,283,0,-283
5395,1,0,138,0,-138
5396,0,0,48,0,-48
5397,1,1,190,1360,1170
5398,0,0,62,0,-62
5399,0,0,23,0,-23
5400,1,1,282,1261,979
5401,1,1,984,1264,280
5402,0,0,133,0,-133
5403,0,0,23,0,-23
5404,0,0,11,0,-11
5405,0,0,50,0,-50
5406,0,0,23,0,-23
5407,0,0,20,0,-20
5408,1,1,707,2130,1423
5409,0,0,2,0,-2
5410,1,1,2232,1526,-706
5411,0,0,29,0,-29
5412,0,0,53,0,-53
5413,1,0,9,0,-9
5414,0,0,17,0,-17
5415,0,0,111,0,-111
5416,0,0,25,0,-25
5417,0,0,78,0,-78
5418,1,0,63,0,-63
5419,1,1,252,1604,1352
5420,1,1,574,1548,974
5421,0,0,21,0,-21
5422,0,0,8,0,-8
5423,1,0,23,0,-23
5424,0,0,59,0,-59
5425,1,0,65,0,-65
5426,1,1,462,1269,807
5427,1,1,508,1988,1480
5428,0,0,81,0,-81
5429,0,0,49,0,-49
5430,1,1,161,2309,2148
5431,0,0,11,0,-11
5432,1,0,33,0,-33
5433,0,0,90,0,-90
5434,0,0,44,0,-44
5435,1,1,916,1327,411
5436,1,1,273,1226,953
5437,0,0,44,0,-44
5438,0,0,15,0,-15
5439,1,0,59,0,-59
5440,0,0,38,0,-38
5441,0,0,28,0,-28
5442,0,0,22,0,-22
5443,0,0,77,0,-77
5444,1,0,25,0,-25
5445,1,1,404,1631,1227
5446,1,0,26,0,-26
5447,1,1,957,1320,363
5448,1,0,22,0,-22
5449,0,0,161,0,-161
5450,1,1,272,1721,1449
5451,1,0,30,0,-30
5452,1,0,0,0,0
5453,1,0,128,0,-128
5454,1,1,194,1411,1217
5455,1,1,360,1206,846
5456,0,0,70,0,-70
5457,1,0,167,0,-167
5458,1,0,116,0,-116
5459,0,0,18,0,-18
5460,1,0,36,0,-36
5461,1,1,227,2548,2321
5462,0,0,39,0,-39
5463,1,0,25,0,-25
5464,0,0,162,0,-162
5465,0,0,23,0,-23
5466,1,0,1,0,-1
5467,1,1,139,1405,1266
5468,0,0,19,0,-19
5469,0,0,43,0,-43
5470,0,0,73,0,-73
5471,1,1,1087,1211,124
5472,1,1,173,1949,1776
5473,0,0,27,0,-27
5474,0,0,23,0,-23
5475,0,0,49,0,-49
5476,0,0,44,0,-44
5477,1,1,353,1436,1083
5478,0,0,71,0,-71
5479,0,0,40,0,-40
5480,0,0,10,0,-10
5481,1,1,522,1791,1269
5482,1,0,5,0,-5
5483,1,0,15,0,-15
5484,0,0,18,0,-18
5485,1,1,95,1659,1564
5486,1,0,18,0,-18
5487,1,1,216,1506,1290
5488,0,0,14,0,-14
5489,1,0,51,0,-51
5490,1,1,261,1755,1494
5491,1,1,45,1642,1597
5492,0,0,8,0,-8
5493,1,1,60,1200,1140
5494,1,0,19,0,-19
5495,1,1,507,1644,1137
5496,0,0,15,0,-15
5497,0,0,125,0,-125
5498,0,0,9,0,-9
5499,1,1,610,1703,1093
5500,0,0,11,0,-11
5501,0,0,29,0,-29
5502,1,0,7,0,-7
5503,1,0,107,0,-107
5504,1,0,122,0,-122
5505,1,0,20,0,-20
5506,1,0,27,0,-27
5507,1,0,59,0,-59
5508,0,0,21,0,-21
5509,0,0,64,0,-64
5510,1,0,9,0,-9
5511,1,0,133,0,-133
5512,0,0,128,0,-128
5513,0,0,195,0,-195
5514,1,1,145,2475,2330
5515,1,1,104,1251,1147
5516,1,0,22,0,-22
5517,1,0,111,0,-111
5518,1,0,6,0,-6
5519,1,1,1285,2085,800
5520,1,1,238,1444,1206
5521,1,0,22,0,-22
5522,1,1,162,1581,1419
5523,0,0,1,0,-1
5524,1,0,155,0,-155
5525,1,1,57,1524,1467
5526,1,0,106,0,-106
5527,0,0,95,0,-95
5528,1,0,62,0,-62
5529,0,0,10,0,-10
5530,0,0,57,0,-57
5531,1,0,36,0,-36
5532,0,0,69,0,-69
5533,1,0,53,0,-53
5534,1,1,1501,1736,235
5535,0,0,14,0,-14
5536,1,0,21,0,-21
5537,0,0,13,0,-13
5538,1,0,5,0,-5
5539,0,0,74,0,-74
5540,1,0,9,0,-9
5541,1,1,1903,2075,172
5542,0,0,0,0,0
5543,1,1,180,1312,1132
5544,1,0,209,0,-209
5545,1,1,354,1272,918
5546,1,0,63,0,-63
5547,1,1,138,1882,1744
5548,0,0,74,0,-74
5549,0,0,31,0,-31
5550,1,0,15,0,-15
5551,0,0,81,0,-81
5552,1,1,888,1920,1032
5553,1,0,101,0,-101
5554,1,0,130,0,-130
5555,1,1,433,2152,1719
5556,1,1,643,2006,1363
5557,1,0,39,0,-39
5558,1,1,532,1257,725
5559,1,1,392,1896,1504
5560,0,0,3,0,-3
5561,1,1,782,1342,560
5562,1,1,1359,1213,-146
5563,1,1,695,1367,672
5564,1,0,57,0,-57
5565,0,0,18,0,-18
5566,1,0,6,0,-6
5567,1,1,1358,1200,-158
5568,0,0,59,0,-59
5569,1,1,289,1391,1102
5570,0,0,61,0,-61
5571,1,0,2,0,-2
5572,0,0,70,0,-70
5573,1,0,13,0,-13
5574,1,0,8,0,-8
5575,0,0,96,0,-96
5576,0,0,10,0,-10
5577,0,0,13,0,-13
5578,1,1,910,1232,322
5579,0,0,101,0,-101
5580,1,1,555,3146,2591
5581,1,1,1011,1224,213
5582,1,0,37,0,-37
5583,1,0,59,0,-59
5584,1,0,32,0,-32
5585,1,0,7,0,-7
5586,0,0,58,0,-58
5587,0,0,133,0,-133
5588,1,1,259,1771,1512
5589,1,1,995,1284,289
5590,1,1,742,1596,854
5591,1,0,27,0,-27
5592,1,0,3,0,-3
5593,0,0,47,0,-47
5594,0,0,34,0,-34
5595,1,0,132,0,-132
5596,1,0,73,0,-73
5597,0,0,26,0,-26
5598,1,1,86,1471,1385
5599,1,1,305,3266,2961
5600,1,0,62,0,-62
5601,0,0,83,0,-83
5602,0,0,68,0,-68
5603,0,0,49,0,-49
5604,0,0,35,0,-35
5605,1,1,1024,1218,194
5606,0,0,25,0,-25
5607,1,0,79,0,-79
5608,0,0,1,0,-1
5609,1,1,296,1251,955
5610,1,0,1,0,-1
5611,1,1,938,1363,425
5612,0,0,62,0,-62
5613,0,0,10,0,-10
5614,0,0,14,0,-14
5615,1,1,213,1594,1381
5616,0,0,150,0,-150
5617,1,0,1,0,-1
5618,0,0,65,0,-65
5619,0,0,2,0,-2
5620,0,0,117,0,-117
5621,0,0,145,0,-145
5622,0,0,40,0,-40
5623,1,1,594,1367,773
5624,0,0,19,0,-19
5625,1,0,34,0,-34
5626,0,0,45,0,-45
5627,0,0,16,0,-16
5628,1,0,18,0,-18
5629,0,0,2,0,-2
5630,1,0,31,0,-31
5631,1,0,71,0,-71
5632,1,1,175,1954,1779
5633,0,0,0,0,0
5634,0,0,52,0,-52
5635,0,0,43,0,-43
5636,1,1,167,1438,1271
5637,0,0,36,0,-36
5638,1,1,524,1310,786
5639,0,0,43,0,-43
5640,0,0,97,0,-97
5641,0,0,3,0,-3
5642,1,1,503,1734,1231
5643,1,0,51,0,-51
5644,1,0,17,0,-17
5645,1,0,126,0,-126
5646,0,0,67,0,-67
5647,1,1,41,1845,1804
5648,1,1,1357,1665,308
5649,1,0,22,0,-22
5650,1,0,34,0,-34
5651,0,0,32,0,-32
5652,0,0,7,0,-7
5653,0,0,89,0,-89
5654,0,0,90,0,-90
5655,0,0,102,0,-102
5656,1,0,12,0,-12
5657,0,0,61,0,-61
5658,1,0,76,0,-76
5659,1,1,213,1219,1006
5660,1,1,1461,1207,-254
5661,1,0,117,0,-117
5662,1,1,647,1761,1114
5663,1,1,274,1251,977
5664,1,1,1191,1453,262
5665,0,0,64,0,-64
5666,1,0,125,0,-125
5667,0,0,27,0,-27
5668,1,0,7,0,-7
5669,1,0,42,0,-42
5670,0,0,17,0,-17
5671,1,0,47,0,-47
5672,1,0,183,0,-183
5673,1,0,49,0,-49
5674,0,0,3,0,-3
5675,0,0,11,0,-11
5676,1,1,876,1225,349
5677,1,1,421,1560,1139
5678,0,0,67,0,-67
5679,1,0,22,0,-22
5680,1,0,4,0,-4
5681,1,0,66,0,-66
5682,1,1,117,1230,1113
5683,1,0,18,0,-18
5684,1,1,710,1285,575
5685,0,0,5,0,-5
5686,1,1,735,1318,583
5687,1,1,59,1516,1457
5688,1,1,96,1620,1524
5689,0,0,51,0,-51
5690,0,0,9,0,-9
5691,1,1,88,2174,2086
5692,0,0,17,0,-17
5693,1,1,1105,1858,753
5694,1,0,0,0,0
5695,0,0,45,0,-45
5696,1,1,130,1829,1699
5697,0,0,99,0,-99
5698,0,0,2,0,-2
5699,1,1,1643,1317,-326
5700,0,0,14,0,-14
5701,0,0,19,0,-19
5702,1,0,133,0,-133
5703,0,0,31,0,-31
5704,1,0,10,0,-10
5705,1,1,1224,1223,-1
5706,1,1,760,1563,803
5707,1,0,1,0,-1
5708,0,0,25,0,-25
5709,0,0,73,0,-73
5710,1,0,86,0,-86
5711,1,1,460,1261,801
5712,1,0,60,0,-60
5713,1,0,100,0,-100
5714,1,1,306,1370,1064
5715,0,0,34,0,-34
5716,1,1,582,1633,1051
5717,0,0,6,0,-6
5718,1,1,108,1597,1489
5719,0,0,108,0,-108
5720,1,1,316,1277,961
5721,1,1,409,1260,851
5722,1,0,85,0,-85
5723,0,0,7,0,-7
5724,1,1,250,1238,988
5725,1,0,61,0,-61
5726,0,0,0,0,0
5727,1,0,105,0,-105
5728,1,1,130,1330,1200
5729,0,0,25,0,-25
5730,1,1,1017,1253,236
5731,0,0,19,0,-19
5732,1,1,1635,1682,47
5733,1,0,84,0,-84
5734,1,1,219,1508,1289
5735,0,0,6,0,-6
5736,0,0,52,0,-52
5737,0,0,3,0,-3
5738,1,1,312,2267,1955
5739,0,0,29,0,-29
5740,0,0,147,0,-147
5741,0,0,27,0,-27
5742,0,0,50,0,-50
5743,1,0,124,0,-124
5744,0,0,186,0,-186
5745,0,0,47,0,-47
5746,1,0,88,0,-88
5747,1,1,1224,2289,1065
5748,0,0,6,0,-6
5749,1,0,66,0,-66
5750,1,1,419,1283,864
5751,0,0,8,0,-8
5752,0,0,79,0,-79
5753,1,1,451,1299,848
5754,1,1,977,1250,273
5755,1,0,259,0,-259
5756,1,1,182,1740,1558
5757,1,1,531,1407,876
5758,1,0,49,0,-49
5759,1,1,585,2667,2082
5760,0,0,0,0,0
5761,0,0,42,0,-42
5762,1,1,286,1268,982
5763,1,1,312,1611,1299
5764,1,0,150,0,-150
5765,0,0,1,0,-1
5766,0,0,71,0,-71
5767,0,0,5,0,-5
5768,1,1,12,1405,1393
5769,1,0,5,0,-5
5770,0,0,3,0,-3
5771,1,1,156,1634,1478
5772,0,0,45,0,-45
5773,0,0,31,0,-31
5774,1,1,46,1787,1741
5775,1,1,69,1332,1263
5776,0,0,43,0,-43
5777,0,0,7,0,-7
5778,1,0,27,0,-27
5779,0,0,43,0,-43
5780,1,0,35,0,-35
5781,1,1,55,2869,2814
5782,1,1,1083,1452,369
5783,1,1,830,1322,492
5784,0,0,108,0,-108
5785,1,0,68,0,-68
5786,1,1,180,1340,1160
5787,1,1,1179,1214,35
5788,1,1,117,2459,2342
5789,1,1,67,3164,3097
5790,0,0,32,0,-32
5791,1,1,1106,1356,250
5792,1,1,318,1870,1552
5793,1,0,39,0,-39
5794,1,1,343,1548,1205
5795,0,0,26,0,-26
5796,1,0,34,0,-34
5797,1,1,399,1553,1154
5798,0,0,63,0,-63
5799,0,0,9,0,-9
5800,1,1,1007,1744,737
5801,1,0,63,0,-63
5802,1,0,78,0,-78
5803,1,0,112,0,-112
5804,1,1,873,6585,5712
5805,0,0,38,0,-38
5806,1,0,37,0,-37
5807,0,0,158,0,-158
5808,1,0,65,0,-65
5809,0,0,92,0,-92
5810,1,0,76,0,-76
5811,1,0,279,0,-279
5812,1,0,77,0,-77
5813,0,0,140,0,-140
5814,1,0,78,0,-78
5815,0,0,2,0,-2
5816,0,0,48,0,-48
5817,1,1,121,1506,1385
5818,1,1,1180,1339,159
5819,1,0,8,0,-8
5820,1,1,68,1920,1852
5821,0,0,16,0,-16
5822,0,0,2,0,-2
5823,1,1,139,1224,1085
5824,1,0,120,0,-120
5825,0,0,20,0,-20
5826,0,0,70,0,-70
5827,1,0,16,0,-16
5828,1,1,1726,3790,2064
5829,0,0,41,0,-41
5830,0,0,47,0,-47
5831,1,0,120,0,-120
5832,1,0,21,0,-21
5833,0,0,127,0,-127
5834,1,0,113,0,-113
5835,1,1,165,1231,1066
5836,0,0,56,0,-56
5837,1,0,68,0,-68
5838,0,0,45,0,-45
5839,0,0,30,0,-30
5840,1,0,13,0,-13
5841,1,0,77,0,-77
5842,0,0,181,0,-181
5843,0,0,1,0,-1
5844,0,0,7,0,-7
5845,1,1,219,2453,2234
5846,1,0,10,0,-10
5847,0,0,63,0,-63
5848,0,0,130,0,-130
5849,0,0,10,0,-10
5850,1,1,169,1435,1266
5851,0,0,12,0,-12
5852,1,0,13,0,-13
5853,1,1,307,1793,1486
5854,0,0,13,0,-13
5855,0,0,41,0,-41
5856,0,0,4,0,-4
5857,1,1,459,1213,754
5858,1,1,240,1230,990
5859,1,1,97,1682,1585
5860,0,0,195,0,-195
5861,1,1,318,1319,1001
5862,0,0,61,0,-61
5863,0,0,36,0,-36
5864,1,1,183,1510,1327
5865,0,0,49,0,-49
5866,0,0,99,0,-99
5867,1,1,1571,1248,-323
5868,0,0,40,0,-40
5869,1,1,174,1346,1172
5870,1,0,22,0,-22
5871,1,0,48,0,-48
5872,0,0,14,0,-14
5873,1,0,4,0,-4
5874,0,0,50,0,-50
5875,1,1,428,1360,932
5876,1,1,669,1436,767
5877,1,1,154,1237,1083
5878,0,0,54,0,-54
5879,0,0,5,0,-5
5880,1,0,94,0,-94
5881,1,0,58,0,-58
5882,0,0,37,0,-37
5883,1,0,54,0,-54
5884,1,1,225,1336,1111
5885,1,0,45,0,-45
5886,1,1,205,1223,1018
5887,0,0,19,0,-19
5888,1,0,1,0,-1
5889,1,1,351,1408,1057
5890,1,1,209,1299,1090
5891,0,0,36,0,-36
5892,1,0,0,0,0
5893,0,0,67,0,-67
5894,1,1,962,2133,1171
5895,1,0,13,0,-13
5896,1,1,159,1238,1079
5897,0,0,28,0,-28
5898,0,0,59,0,-59
5899,0,0,92,0,-92
5900,1,0,7,0,-7
5901,1,0,115,0,-115
5902,1,1,59,1347,1288
5903,1,1,585,1259,674
5904,1,0,63,0,-63
5905,1,0,2,0,-2
5906,1,1,500,1365,865
5907,1,1,124,1272,1148
5908,1,1,812,1347,535
5909,0,0,125,0,-125
5910,1,1,277,1836,1559
5911,0,0,6,0,-6
5912,0,0,11,0,-11
5913,1,0,10,0,-10
5914,0,0,85,0,-85
5915,1,0,2,0,-2
5916,1,0,71,0,-71
5917,0,0,3,0,-3
5918,0,0,134,0,-134
5919,0,0,7,0,-7
5920,0,0,11,0,-11
5921,0,0,21,0,-21
5922,1,1,329,1237,908
5923,1,1,1424,1333,-91
5924,1,1,2141,1953,-188
5925,0,0,137,0,-137
5926,0,0,123,0,-123
5927,0,0,63,0,-63
5928,0,0,4,0,-4
5929,1,0,4,0,-4
5930,1,0,136,0,-136
5931,1,0,11,0,-11
5932,1,0,22,0,-22
5933,1,1,1740,1927,187
5934,1,0,8,0,-8
5935,0,0,52,0,-52
5936,0,0,12,0,-12
5937,1,1,108,1725,1617
5938,1,0,24,0,-24
5939,1,1,124,1446,1322
5940,1,0,10,0,-10
5941,1,1,2088,2099,11
5942,1,1,165,1323,1158
5943,1,1,189,2247,2058
5944,1,0,143,0,-143
5945,1,0,18,0,-18
5946,0,0,127,0,-127
5947,1,0,41,0,-41
5948,0,0,72,0,-72
5949,0,0,10,0,-10
5950,0,0,55,0,-55
5951,1,0,4,0,-4
5952,0,0,1,0,-1
5953,1,0,74,0,-74
5954,0,0,2,0,-2
5955,1,1,1110,1239,129
5956,1,1,144,1512,1368
5957,1,0,87,0,-87
5958,0,0,20,0,-20
5959,1,1,81,1313,1232
5960,0,0,35,0,-35
5961,1,0,1,0,-1
5962,1,1,43,1280,1237
5963,0,0,10,0,-10
5964,1,0,16,0,-16
5965,1,1,485,1258,773
5966,1,0,84,0,-84
5967,1,1,900,1525,625
5968,1,1,33,1453,1420
5969,1,0,46,0,-46
5970,0,0,60,0,-60
5971,0,0,72,0,-72
5972,0,0,20,0,-20
5973,1,0,46,0,-46
5974,1,0,34,0,-34
5975,1,1,130,2312,2182
5976,1,0,41,0,-41
5977,0,0,17,0,-17
5978,0,0,11,0,-11
5979,1,1,1559,1278,-281
5980,1,0,50,0,-50
5981,1,0,93,0,-93
5982,1,0,234,0,-234
5983,1,0,71,0,-71
5984,0,0,61,0,-61
5985,0,0,74,0,-74
5986,1,1,548,1409,861
5987,1,0,1,0,-1
5988,0,0,10,0,-10
5989,1,0,105,0,-105
5990,0,0,147,0,-147
5991,1,1,322,1281,959
5992,1,0,9,0,-9
5993,1,1,43,1466,1423
5994,1,0,68,0,-68
5995,1,0,67,0,-67
5996,1,1,472,1200,728
5997,0,0,13,0,-13
5998,1,0,5,0,-5
5999,0,0,43,0,-43
6000,0,0,1,0,-1
6001,0,0,33,0,-33
6002,1,0,74,0,-74
6003,0,0,1,0,-1
6004,1,0,3,0,-3
6005,1,0,82,0,-82
6006,1,0,24,0,-24
6007,0,0,25,0,-25
6008,1,0,16,0,-16
6009,1,0,36,0,-36
6010,0,0,7,0,-7
6011,1,1,399,2586,2187
6012,1,0,43,0,-43
6013,0,0,333,0,-333
6014,0,0,7,0,-7
6015,1,1,1190,1248,58
6016,0,0,20,0,-20
6017,0,0,86,0,-86
6018,1,1,93,1231,1138
6019,0,0,4,0,-4
6020,1,1,180,1889,1709
6021,1,1,431,1971,1540
6022,0,0,12,0,-12
6023,0,0,36,0,-36
6024,0,0,32,0,-32
6025,0,0,7,0,-7
6026,1,0,45,0,-45
6027,0,0,18,0,-18
6028,0,0,127,0,-127
6029,0,0,58,0,-58
6030,1,1,335,1419,1084
6031,0,0,2,0,-2
6032,1,0,94,0,-94
6033,1,1,168,1200,1032
6034,1,0,28,0,-28
6035,0,0,91,0,-91
6036,1,1,1122,4013,2891
6037,0,0,105,0,-105
6038,1,0,154,0,-154
6039,1,1,1792,1341,-451
6040,0,0,15,0,-15
6041,1,0,1,0,-1
6042,0,0,13,0,-13
6043,0,0,29,0,-29
6044,1,1,156,1334,1178
6045,1,1,292,1263,971
6046,1,0,20,0,-20
6047,0,0,19,0,-19
6048,1,0,65,0,-65
6049,1,0,47,0,-47
6050,0,0,33,0,-33
6051,1,1,450,1881,1431
6052,0,0,8,0,-8
6053,1,0,3,0,-3
6054,1,1,147,1328,1181
6055,1,1,663,1562,899
6056,1,1,330,1296,966
6057,0,0,12,0,-12
6058,0,0,6,0,-6
6059,1,0,72,0,-72
6060,1,1,764,1279,515
6061,1,0,76,0,-76
6062,0,0,63,0,-63
6063,1,0,64,0,-64
6064,0,0,91,0,-91
6065,0,0,13,0,-13
6066,0,0,223,0,-223
6067,1,1,1358,1806,448
6068,0,0,90,0,-90
6069,0,0,11,0,-11
6070,0,0,21,0,-21
6071,1,0,2,0,-2
6072,1,1,895,1644,749
6073,1,0,21,0,-21
6074,0,0,72,0,-72
6075,0,0,322,0,-322
6076,0,0,100,0,-100
6077,1,0,51,0,-51
6078,0,0,112,0,-112
6079,1,0,14,0,-14
6080,1,1,347,1298,951
6081,0,0,49,0,-49
6082,0,0,51,0,-51
6083,1,0,2,0,-2
6084,0,0,37,0,-37
6085,0,0,5,0,-5
6086,1,0,10,0,-10
6087,0,0,55,0,-55
6088,1,1,101,2281,2180
6089,1,1,928,1201,273
6090,1,1,136,1243,1107
6091,1,1,188,1949,1761
6092,0,0,135,0,-135
6093,1,1,302,1227,925
6094,0,0,11,0,-11
6095,0,0,16,0,-16
6096,1,0,143,0,-143
6097,1,1,152,1417,1265
6098,0,0,108,0,-108
6099,0,0,54,0,-54
6100,0,0,31,0,-31
6101,1,0,43,0,-43
6102,1,0,56,0,-56
6103,1,0,60,0,-60
6104,1,0,14,0,-14
6105,0,0,4,0,-4
6106,1,0,5,0,-5
6107,1,0,2,0,-2
6108,1,1,366,6171,5805
6109,1,0,21,0,-21
6110,1,1,609,1373,764
6111,0,0,12,0,-12
6112,0,0,111,0,-111
6113,0,0,25,0,-25
6114,1,1,726,1331,605
6115,0,0,19,0,-19
6116,1,1,830,1973,1143
6117,1,1,76,1282,1206
6118,1,1,956,1233,277
6119,0,0,13,0,-13
6120,0,0,255,0,-255
6121,0,0,174,0,-174
6122,1,1,2932,1265,-1667
6123,0,0,22,0,-22
6124,1,1,249,1430,1181
6125,0,0,37,0,-37
6126,1,1,209,1338,1129
6127,0,0,20,0,-20
6128,1,1,239,1519,1280
6129,0,0,38,0,-38
6130,1,1,916,1882,966
6131,1,0,70,0,-70
6132,0,0,30,0,-30
6133,1,1,267,3006,2739
6134,0,0,0,0,0
6135,1,1,938,2061,1123
6136,1,0,32,0,-32
6137,1,1,649,1224,575
6138,0,0,37,0,-37
6139,1,0,5,0,-5
6140,1,0,3,0,-3
6141,0,0,7,0,-7
6142,1,0,20,0,-20
6143,1,1,1047,1493,446
6144,1,0,35,0,-35
6145,0,0,99,0,-99
6146,0,0,53,0,-53
6147,1,0,276,0,-276
6148,1,0,8,0,-8
6149,1,1,1387,1221,-166
6150,1,0,99,0,-99
6151,0,0,8,0,-8
6152,1,1,312,1224,912
6153,0,0,9,0,-9
6154,0,0,99,0,-99
6155,0,0,139,0,-139
6156,1,0,41,0,-41
6157,1,0,66,0,-66
6158,0,0,13,0,-13
6159,1,1,490,1601,1111
6160,0,0,87,0,-87
6161,1,0,58,0,-58
6162,1,0,39,0,-39
6163,1,1,208,1333,1125
6164,1,1,463,1666,1203
6165,0,0,64,0,-64
6166,0,0,145,0,-145
6167,0,0,35,0,-35
6168,1,1,464,2333,1869
6169,0,0,28,0,-28
6170,1,1,86,1959,1873
6171,0,0,143,0,-143
6172,1,0,25,0,-25
6173,1,0,293,0,-293
6174,1,1,71,1946,1875
6175,1,1,433,1207,774
6176,1,1,128,1292,1164
6177,0,0,129,0,-129
6178,1,0,24,0,-24
6179,0,0,28,0,-28
6180,0,0,19,0,-19
6181,1,1,1251,1688,437
6182,1,1,225,1200,975
6183,1,1,305,1370,1065
6184,1,1,915,1488,573
6185,0,0,84,0,-84
6186,0,0,64,0,-64
6187,1,0,6,0,-6
6188,1,1,271,1260,989
6189,1,1,995,1353,358
6190,1,0,193,0,-193
6191,0,0,2,0,-2
6192,1,0,21,0,-21
6193,1,0,36,0,-36
6194,1,0,76,0,-76
6195,1,0,197,0,-197
6196,1,0,147,0,-147
6197,1,1,69,1570,1501
6198,1,0,28,0,-28
6199,0,0,13,0,-13
6200,1,0,64,0,-64
6201,1,1,456,1278,822
6202,1,0,18,0,-18
6203,1,1,374,1317,943
6204,1,0,64,0,-64
6205,0,0,57,0,-57
6206,1,1,398,2747,2349
6207,1,0,2,0,-2
6208,1,0,79,0,-79
6209,1,0,99,0,-99
6210,0,0,108,0,-108
6211,0,0,30,0,-30
6212,0,0,0,0,0
6213,0,0,27,0,-27
6214,0,0,67,0,-67
6215,1,0,78,0,-78
6216,1,0,10,0,-10
6217,1,0,16,0,-16
6218,1,0,52,0,-52
6219,1,0,30,0,-30
